iter	Passed	Remaining
739	6386	2243
740	6393	2234
741	6401	2225
742	6408	2216
743	6417	2208
744	6425	2199
745	6433	2190
746	6440	2181
747	6449	2172
748	6457	2164
749	6465	2155
750	6473	2146
751	6482	2137
752	6493	2129
753	6500	2120
754	6507	2111
755	6516	2103
756	6524	2094
757	6531	2085
758	6540	2076
759	6548	2067
760	6557	2059
761	6565	2050
762	6572	2041
763	6580	2032
764	6587	2023
765	6595	2014
766	6604	2006
767	6612	1997
768	6620	1988
769	6627	1979
770	6636	1971
771	6644	1962
772	6653	1953
773	6662	1945
774	6671	1936
775	6679	1927
776	6688	1919
777	6707	1914
778	6717	1905
779	6732	1898
780	6757	1894
781	6773	1888
782	6789	1881
783	6799	1873
784	6815	1866
785	6830	1859
786	6846	1852
787	6862	1846
788	6887	1841
789	6897	1833
790	6911	1826
791	6921	1817
792	6928	1808
793	6937	1799
794	6945	1790
795	6953	1782
796	6963	1773
797	6972	1764
798	6979	1755
799	6992	1748
800	7005	1740
801	7021	1733
802	7036	1726
803	7051	1719
804	7070	1712
805	7083	1705
806	7099	1697
807	7110	1689
808	7126	1682
809	7140	1675
810	7152	1666
811	7160	1657
812	7168	1648
813	7176	1639
814	7184	1630
815	7191	1621
816	7199	1612
817	7208	1603
818	7216	1594
819	7224	1585
820	7232	1576
821	7239	1567
822	7249	1559
823	7257	1550
824	7265	1541
825	7272	1532
826	7280	1522
827	7287	1513
828	7295	1504
829	7302	1495
830	7311	1487
831	7320	1478
832	7328	1469
833	7337	1460
834	7345	1451
835	7353	1442
836	7361	1433
837	7369	1424
838	7377	1415
839	7384	1406
840	7393	1397
841	7402	1389
842	7410	1380
843	7418	1371
844	7427	1362
845	7435	1353
846	7443	1344
847	7450	1335
848	7458	1326
849	7466	1317
850	7474	1308
851	7481	1299
852	7490	1290
853	7498	1281
854	7506	1273
855	7514	1264
856	7523	1255
857	7531	1246
858	7540	1237
859	7547	1228
860	7555	1219
861	7563	1210
862	7574	1202
863	7585	1194
864	7595	1185
865	7603	1176
866	7611	1167
867	7619	1158
868	7628	1149
869	7637	1141
870	7645	1132
871	7652	1123
872	7660	1114
873	7670	1105
874	7677	1096
875	7685	1087
876	7693	1078
877	7701	1070
878	7709	1061
879	7717	1052
880	7725	1043
881	7734	1034
882	7742	1025
883	7750	1016
884	7758	1008
885	7765	999
886	7775	990
887	7782	981
888	7791	972
889	7799	963
890	7806	955
891	7815	946
892	7822	937
893	7831	928
894	7841	919
895	7850	911
896	7858	902
897	7866	893
898	7875	884
899	7883	875
900	7892	867
901	7900	858
902	7908	849
903	7915	840
904	7923	831
905	7932	822
906	7941	814
907	7950	805
908	7958	796
909	7967	788
910	7977	779
911	7989	770
912	8001	762
913	8014	754
914	8026	745
915	8043	737
916	8060	729
917	8075	721
918	8091	713
919	8107	705
920	8121	696
921	8135	688
922	8148	679
923	8161	671
924	8174	662
925	8186	654
